architecture,architecture_label,target,target_label,fold,condition,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,stage2_macro_recall
no_conv,NoConv,3,L3,fold03,attention_shuffle,66.4218439471183,66.24456427354079,63.73057530830254,47.861127661634754,78.80717827538083,68.48223835228066,80.59701492537313,76.56882591093117,90.0,58.76485568760611,50.46992481203007,58.11130106449127,1.1776764914393425,61.93453547018911
no_conv,NoConv,3,L3,fold03,attention_zero,66.4218439471183,66.24456427354079,63.73057530830254,47.861127661634754,78.09050980883397,68.01533284564422,80.59701492537313,76.56882591093117,90.0,58.76485568760611,50.46992481203007,57.91975557804108,1.165629405528307,61.93453547018911
no_conv,NoConv,3,L3,fold03,random_window,66.2761384256459,65.84873094020745,63.458678815770185,47.3782123192624,77.49369815189482,67.64373928991239,80.59701492537316,76.56882591093118,87.625,58.764855687606115,50.46992481203009,57.76726470887661,1.1141456876881422,61.934535470189104
no_conv,NoConv,5,L5,fold03,baseline,66.26846971398946,65.82789760687412,63.46786771201124,47.56152696482536,78.02511662553653,67.9145168484382,80.59701492537313,76.56882591093117,87.5,58.76485568760611,50.46992481203007,57.857200503349304,1.160416029393673,61.93453547018911
no_conv,NoConv,5,L5,fold03,maximum,64.33725049684611,63.76022843394178,60.830191174647965,44.221779440904925,75.87647899612696,65.92642427783301,80.59701492537313,73.93724696356276,87.5,56.13327674023769,44.266917293233085,56.829145550727844,1.064568191766739,58.11248033234452
no_conv,NoConv,5,L5,fold03,attention_shuffle,60.74699732135142,61.88052918582148,57.43081134882559,40.692424417597664,77.3542185762636,66.15708077485647,80.59701492537313,64.72672064777328,87.5,46.92275042444821,38.62781954887218,53.97647321224213,0.8750954270362854,50.09243020703122
no_conv,NoConv,5,L5,fold03,attention_zero,66.3591981335868,66.57977730612224,64.0674719201302,47.92952350140584,79.42217357524265,68.82448745153266,80.59701492537313,75.25303643724696,87.5,57.449066213921895,52.725563909774436,57.864101231098175,1.1545066758990288,61.809222186981096
no_conv,NoConv,5,L5,fold03,random_window,64.02283331893199,63.535447732187386,60.63046381100228,43.72957433155689,75.66334376175578,65.43725251820968,80.59701492537316,73.26290485829959,87.5,55.45893463497453,43.59257518796992,56.51923534274101,1.0477280427142979,57.438138227081346
no_lstm,NoLSTM,2,L2,fold01,baseline,69.559123343527,68.37227579350514,68.62594314301404,52.06951107478062,76.33716561431108,64.89114748211034,76.11940298507463,68.11647173489278,65.85365853658537,72.35780984719864,70.6296992481203,62.84417808055878,2.1097796335816383,70.36799361007057
no_lstm,NoLSTM,2,L2,fold01,maximum,63.888888888888886,64.0822614403198,62.69439334303072,44.31431428362979,73.89024396754735,60.82621465147783,76.86567164179104,54.873294346978554,65.85365853658537,62.81833616298812,61.09022556390978,58.1070601940155,1.3455083295702934,59.59395202462548
no_lstm,NoLSTM,2,L2,fold01,attention_shuffle,64.02905198776759,63.91472679386398,63.95411418803537,44.48679354395869,75.39019108502677,64.35340548459622,75.3731343283582,55.11695906432749,65.85365853658537,66.76570458404075,65.03759398496241,58.956703543663025,1.6599122658371925,62.306752544443555
