comparison_id,comparison_label,comparison_family,stage,true_class,true_label,predicted_class,predicted_label,row_n,baseline_count,intervention_count,baseline_row_percent,intervention_row_percent,delta_row_pp
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,24,18.181818181818183,19.834710743801654,1.6528925619834711
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,85,72.72727272727273,70.24793388429752,-2.479338842975207
structure_no_attention,Full vs NoAttention,structural_ablation,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,333,81.59203980099502,82.83582089552239,1.243781094527363
structure_no_attention,Full vs NoAttention,structural_ablation,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,63,16.915422885572138,15.671641791044776,-1.243781094527363
structure_no_attention,Full vs NoAttention,structural_ablation,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,6,1.492537313432836,1.492537313432836,0.0
structure_no_attention,Full vs NoAttention,structural_ablation,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,60,13.596491228070175,13.157894736842104,-0.43859649122807015
structure_no_attention,Full vs NoAttention,structural_ablation,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,385,85.08771929824562,84.4298245614035,-0.6578947368421053
structure_no_attention,Full vs NoAttention,structural_ablation,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,11,1.3157894736842106,2.412280701754386,1.0964912280701755
structure_no_attention,Full vs NoAttention,structural_ablation,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,10,9.090909090909092,8.264462809917354,-0.8264462809917356
structure_no_attention,Full vs NoAttention,structural_ablation,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,19,18.181818181818183,15.702479338842975,-2.479338842975207
structure_no_attention,Full vs NoAttention,structural_ablation,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,92,72.72727272727273,76.03305785123968,3.3057851239669422
mask_max_L1,Maximum mask L1,input_mask,run2,0,L2 Wrong hole,0,L2 Wrong hole,79,63,62,79.74683544303798,78.48101265822785,-1.2658227848101267
mask_max_L1,Maximum mask L1,input_mask,run2,0,L2 Wrong hole,1,L4 Changing direction,79,13,14,16.455696202531644,17.72151898734177,1.2658227848101267
mask_max_L1,Maximum mask L1,input_mask,run2,0,L2 Wrong hole,2,L5 Walking,79,3,3,3.7974683544303796,3.7974683544303796,0.0
mask_max_L1,Maximum mask L1,input_mask,run2,1,L4 Changing direction,0,L2 Wrong hole,93,24,27,25.806451612903224,29.032258064516128,3.225806451612903
mask_max_L1,Maximum mask L1,input_mask,run2,1,L4 Changing direction,1,L4 Changing direction,93,62,60,66.66666666666667,64.51612903225806,-2.150537634408602
mask_max_L1,Maximum mask L1,input_mask,run2,1,L4 Changing direction,2,L5 Walking,93,7,6,7.526881720430108,6.451612903225806,-1.075268817204301
mask_max_L1,Maximum mask L1,input_mask,run2,2,L5 Walking,0,L2 Wrong hole,42,9,8,21.428571428571427,19.047619047619047,-2.380952380952381
mask_max_L1,Maximum mask L1,input_mask,run2,2,L5 Walking,1,L4 Changing direction,42,14,15,33.333333333333336,35.714285714285715,2.380952380952381
mask_max_L1,Maximum mask L1,input_mask,run2,2,L5 Walking,2,L5 Walking,42,19,19,45.23809523809524,45.23809523809524,0.0
mask_max_L2,Maximum mask L2,input_mask,run2,0,L2 Wrong hole,0,L2 Wrong hole,79,63,64,79.74683544303798,81.0126582278481,1.2658227848101267
mask_max_L2,Maximum mask L2,input_mask,run2,0,L2 Wrong hole,1,L4 Changing direction,79,13,12,16.455696202531644,15.189873417721518,-1.2658227848101267
mask_max_L2,Maximum mask L2,input_mask,run2,0,L2 Wrong hole,2,L5 Walking,79,3,3,3.7974683544303796,3.7974683544303796,0.0
mask_max_L2,Maximum mask L2,input_mask,run2,1,L4 Changing direction,0,L2 Wrong hole,93,24,23,25.806451612903224,24.731182795698924,-1.075268817204301
mask_max_L2,Maximum mask L2,input_mask,run2,1,L4 Changing direction,1,L4 Changing direction,93,62,62,66.66666666666667,66.66666666666667,0.0
mask_max_L2,Maximum mask L2,input_mask,run2,1,L4 Changing direction,2,L5 Walking,93,7,8,7.526881720430108,8.602150537634408,1.075268817204301
mask_max_L2,Maximum mask L2,input_mask,run2,2,L5 Walking,0,L2 Wrong hole,42,9,10,21.428571428571427,23.80952380952381,2.380952380952381
mask_max_L2,Maximum mask L2,input_mask,run2,2,L5 Walking,1,L4 Changing direction,42,14,13,33.333333333333336,30.952380952380953,-2.380952380952381
mask_max_L2,Maximum mask L2,input_mask,run2,2,L5 Walking,2,L5 Walking,42,19,19,45.23809523809524,45.23809523809524,0.0
mask_max_L3,Maximum mask L3,input_mask,run2,0,L2 Wrong hole,0,L2 Wrong hole,79,63,63,79.74683544303798,79.74683544303798,0.0
mask_max_L3,Maximum mask L3,input_mask,run2,0,L2 Wrong hole,1,L4 Changing direction,79,13,13,16.455696202531644,16.455696202531644,0.0
mask_max_L3,Maximum mask L3,input_mask,run2,0,L2 Wrong hole,2,L5 Walking,79,3,3,3.7974683544303796,3.7974683544303796,0.0
mask_max_L3,Maximum mask L3,input_mask,run2,1,L4 Changing direction,0,L2 Wrong hole,93,24,25,25.806451612903224,26.881720430107528,1.075268817204301
mask_max_L3,Maximum mask L3,input_mask,run2,1,L4 Changing direction,1,L4 Changing direction,93,62,60,66.66666666666667,64.51612903225806,-2.150537634408602
mask_max_L3,Maximum mask L3,input_mask,run2,1,L4 Changing direction,2,L5 Walking,93,7,8,7.526881720430108,8.602150537634408,1.075268817204301
mask_max_L3,Maximum mask L3,input_mask,run2,2,L5 Walking,0,L2 Wrong hole,42,9,9,21.428571428571427,21.428571428571427,0.0
mask_max_L3,Maximum mask L3,input_mask,run2,2,L5 Walking,1,L4 Changing direction,42,14,14,33.333333333333336,33.333333333333336,0.0
mask_max_L3,Maximum mask L3,input_mask,run2,2,L5 Walking,2,L5 Walking,42,19,19,45.23809523809524,45.23809523809524,0.0
mask_max_L4,Maximum mask L4,input_mask,run2,0,L2 Wrong hole,0,L2 Wrong hole,79,63,64,79.74683544303798,81.0126582278481,1.2658227848101267
mask_max_L4,Maximum mask L4,input_mask,run2,0,L2 Wrong hole,1,L4 Changing direction,79,13,11,16.455696202531644,13.924050632911392,-2.5316455696202533
mask_max_L4,Maximum mask L4,input_mask,run2,0,L2 Wrong hole,2,L5 Walking,79,3,4,3.7974683544303796,5.063291139240507,1.2658227848101267
mask_max_L4,Maximum mask L4,input_mask,run2,1,L4 Changing direction,0,L2 Wrong hole,93,24,24,25.806451612903224,25.806451612903224,0.0
mask_max_L4,Maximum mask L4,input_mask,run2,1,L4 Changing direction,1,L4 Changing direction,93,62,62,66.66666666666667,66.66666666666667,0.0
mask_max_L4,Maximum mask L4,input_mask,run2,1,L4 Changing direction,2,L5 Walking,93,7,7,7.526881720430108,7.526881720430108,0.0
mask_max_L4,Maximum mask L4,input_mask,run2,2,L5 Walking,0,L2 Wrong hole,42,9,9,21.428571428571427,21.428571428571427,0.0
mask_max_L4,Maximum mask L4,input_mask,run2,2,L5 Walking,1,L4 Changing direction,42,14,14,33.333333333333336,33.333333333333336,0.0
mask_max_L4,Maximum mask L4,input_mask,run2,2,L5 Walking,2,L5 Walking,42,19,19,45.23809523809524,45.23809523809524,0.0
mask_max_L5,Maximum mask L5,input_mask,run2,0,L2 Wrong hole,0,L2 Wrong hole,79,63,63,79.74683544303798,79.74683544303798,0.0
mask_max_L5,Maximum mask L5,input_mask,run2,0,L2 Wrong hole,1,L4 Changing direction,79,13,13,16.455696202531644,16.455696202531644,0.0
mask_max_L5,Maximum mask L5,input_mask,run2,0,L2 Wrong hole,2,L5 Walking,79,3,3,3.7974683544303796,3.7974683544303796,0.0
mask_max_L5,Maximum mask L5,input_mask,run2,1,L4 Changing direction,0,L2 Wrong hole,93,24,24,25.806451612903224,25.806451612903224,0.0
mask_max_L5,Maximum mask L5,input_mask,run2,1,L4 Changing direction,1,L4 Changing direction,93,62,62,66.66666666666667,66.66666666666667,0.0
mask_max_L5,Maximum mask L5,input_mask,run2,1,L4 Changing direction,2,L5 Walking,93,7,7,7.526881720430108,7.526881720430108,0.0
mask_max_L5,Maximum mask L5,input_mask,run2,2,L5 Walking,0,L2 Wrong hole,42,9,11,21.428571428571427,26.19047619047619,4.761904761904762
mask_max_L5,Maximum mask L5,input_mask,run2,2,L5 Walking,1,L4 Changing direction,42,14,15,33.333333333333336,35.714285714285715,2.380952380952381
